Date;Open;High;Low;Close;Volume
2019.06.03;7092.70;7096.70;7090.70;7094.10;672
2019.06.03;7094.30;7098.20;7087.40;7093.10;1001
2019.06.03;7092.70;7095.60;7088.40;7092.70;905
2019.06.03;7092.90;7102.60;7091.20;7102.30;881
2019.06.03;7102.20;7108.80;7100.40;7107.70;1087
2019.06.03;7107.80;7110.90;7103.60;7105.10;1030
2019.06.03;7105.20;7111.20;7100.80;7109.40;999
2019.06.03;7110.20;7126.90;7097.20;7098.70;2826
2019.06.03;7099.20;7099.30;7047.60;7047.60;2809
2019.06.03;7047.30;7057.80;7023.90;7054.70;2846
2019.06.03;7054.60;7075.40;7042.90;7075.20;2674
2019.06.03;7075.30;7085.90;7067.70;7081.40;2625
2019.06.03;7081.60;7085.90;7066.30;7083.70;2507
2019.06.03;7083.40;7090.30;7068.90;7072.90;2472
2019.06.03;7072.30;7087.90;7069.20;7083.10;2382
2019.06.03;7082.90;7087.20;7065.70;7074.20;2449
2019.06.03;7074.40;7080.20;7050.70;7054.40;2481
2019.06.03;7054.30;7059.40;7017.60;7026.40;2446
2019.06.03;7026.20;7026.90;6992.40;6996.40;2628
2019.06.03;6996.10;7011.20;6988.60;7003.10;2631
2019.06.03;7003.30;7016.20;6998.60;6998.70;2392
2019.06.03;6998.80;7013.70;6985.70;7011.90;2404
2019.06.03;7011.40;7044.90;6989.20;7009.80;2583
2019.06.03;7009.30;7009.30;6962.80;6982.60;2948
2019.06.03;6982.70;7001.40;6973.60;6998.60;2790
2019.06.03;6998.40;7016.20;6990.90;7002.10;2561
2019.06.03;7001.90;7008.40;6992.40;6996.70;2489
2019.06.03;6997.10;7007.20;6975.90;6981.90;2536
2019.06.03;6982.10;6986.70;6960.70;6969.40;2598
2019.06.03;6969.90;6971.90;6939.20;6960.40;2584
2019.06.03;6960.30;6978.60;6944.60;6952.10;2677
2019.06.03;6952.80;6957.70;6936.20;6955.40;2732
2019.06.03;6955.60;6982.40;6949.20;6973.90;2729
2019.06.03;6974.20;6991.60;6971.70;6987.70;1571
2019.06.03;6989.60;6999.20;6989.60;6997.30;512
2019.06.03;6997.60;7003.70;6995.90;7003.60;422
2019.06.04;7004.50;7009.40;7002.80;7004.50;395
2019.06.04;7004.30;7004.30;6998.70;6999.30;290
2019.06.04;6999.50;7005.90;6999.50;7003.20;239
2019.06.04;7003.30;7006.20;6999.40;7000.50;182
2019.06.04;7000.30;7003.70;6997.30;6999.40;274
2019.06.04;6999.50;7007.50;6999.30;7004.50;374
2019.06.04;7004.40;7007.70;7002.50;7002.80;399
2019.06.04;7003.00;7003.80;6992.80;6996.30;682
2019.06.04;6996.20;7000.30;6991.20;6991.50;1079
2019.06.04;6992.30;6996.80;6985.80;6988.80;765
2019.06.04;6988.50;6992.30;6985.80;6991.20;584
2019.06.04;6991.00;6993.80;6987.40;6993.00;558
2019.06.04;6993.20;6993.20;6989.30;6992.20;618
2019.06.04;6991.90;6995.20;6989.90;6994.00;634
2019.06.04;6993.70;6993.70;6981.70;6981.90;991
2019.06.04;6981.80;6988.20;6980.40;6983.40;843
2019.06.04;6983.30;6983.30;6976.50;6977.80;819
2019.06.04;6977.70;6984.00;6977.30;6982.50;533
2019.06.04;6982.70;6984.30;6980.30;6981.90;474
2019.06.04;6982.00;6989.40;6979.70;6989.40;648
2019.06.04;6989.30;6989.90;6986.90;6989.30;421
2019.06.04;6989.50;6995.70;6988.90;6994.30;584
2019.06.04;6994.20;6997.40;6992.90;6994.70;469
2019.06.04;6994.80;6998.50;6994.80;6995.80;396
2019.06.04;6996.20;6998.90;6995.90;6998.50;260
2019.06.04;6998.40;6998.40;6994.00;6994.90;271
2019.06.04;6994.80;6998.30;6991.30;6992.20;451
2019.06.04;6992.00;6993.70;6991.30;6992.50;279
2019.06.04;6992.70;6994.90;6990.40;6994.50;398
2019.06.04;6994.30;6996.00;6993.90;6994.80;329
2019.06.04;6995.00;6995.30;6990.50;6994.00;458
2019.06.04;6994.20;6997.20;6991.50;6995.50;481
2019.06.04;6995.70;6998.50;6989.00;6989.70;685
2019.06.04;6989.50;6990.90;6985.70;6987.20;644
2019.06.04;6987.00;6987.40;6979.90;6982.90;687
2019.06.04;6982.80;6987.70;6982.20;6987.70;631
2019.06.04;6987.80;6997.40;6983.20;6996.90;1331
2019.06.04;6996.80;7009.70;6996.80;7007.20;1440
2019.06.04;7007.00;7015.90;7004.90;7008.40;1545
2019.06.04;7008.30;7021.90;7007.90;7018.20;1320
2019.06.04;7018.00;7018.90;7009.70;7013.20;1186
2019.06.04;7013.40;7015.80;7009.20;7013.90;975
2019.06.04;7013.70;7023.20;7012.70;7020.30;1129
2019.06.04;7020.20;7027.90;7019.20;7025.90;1022
2019.06.04;7025.70;7029.20;7022.90;7026.00;1080
2019.06.04;7025.90;7030.00;7017.80;7020.70;1064
2019.06.04;7020.30;7022.30;7014.40;7018.80;1038
2019.06.04;7019.00;7028.20;7017.70;7027.20;885
